,pll_score,wer,cer,levenshtein
pll_score,1.0,0.20601946017628453,0.2601234301934823,0.466737477417038
wer,0.20601946017628453,1.0,0.9313069794645716,0.7771742786390675
cer,0.2601234301934823,0.9313069794645716,1.0,0.8092533931903798
levenshtein,0.466737477417038,0.7771742786390675,0.8092533931903798,1.0
