,pll_score,wer,cer,levenshtein
pll_score,1.0,0.3245415211406858,0.4465724944986555,0.921979888631311
wer,0.3245415211406858,1.0,0.8502091345594601,0.47999926597075915
cer,0.4465724944986555,0.8502091345594601,1.0,0.6607860517797584
levenshtein,0.921979888631311,0.47999926597075915,0.6607860517797584,1.0
