dataset,dataset_label,row_metric,col_metric,correlation
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,levenshtein,pll_score,0.44609896589884823
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,levenshtein,wer,0.8975505361914954
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,levenshtein,cer,0.9986354684089069
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,levenshtein,levenshtein,1.0
matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,pll_score,pll_score,1.0
matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,pll_score,wer,-0.07196282274283637
matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,pll_score,cer,-0.28371081961467376
matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,pll_score,levenshtein,-0.28115841441982886
matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,wer,pll_score,-0.07196282274283637
matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,wer,wer,1.0
matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,wer,cer,0.9369721986621306
matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,wer,levenshtein,0.9393305032868502
matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,cer,pll_score,-0.28371081961467376
matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,cer,wer,0.9369721986621306
matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,cer,cer,1.0
matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,cer,levenshtein,0.9999623908751966
matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,levenshtein,pll_score,-0.28115841441982886
matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,levenshtein,wer,0.9393305032868502
matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,levenshtein,cer,0.9999623908751966
matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,levenshtein,levenshtein,1.0
midrashhagadoldvarim,Midrash Hagadol Dvarim,pll_score,pll_score,1.0
midrashhagadoldvarim,Midrash Hagadol Dvarim,pll_score,wer,-0.1880677431099997
midrashhagadoldvarim,Midrash Hagadol Dvarim,pll_score,cer,0.45686897154910333
midrashhagadoldvarim,Midrash Hagadol Dvarim,pll_score,levenshtein,0.763620451976076
midrashhagadoldvarim,Midrash Hagadol Dvarim,wer,pll_score,-0.1880677431099997
midrashhagadoldvarim,Midrash Hagadol Dvarim,wer,wer,1.0
midrashhagadoldvarim,Midrash Hagadol Dvarim,wer,cer,0.4699089537980391
midrashhagadoldvarim,Midrash Hagadol Dvarim,wer,levenshtein,0.18789303679706146
midrashhagadoldvarim,Midrash Hagadol Dvarim,cer,pll_score,0.45686897154910333
midrashhagadoldvarim,Midrash Hagadol Dvarim,cer,wer,0.4699089537980391
midrashhagadoldvarim,Midrash Hagadol Dvarim,cer,cer,1.0
midrashhagadoldvarim,Midrash Hagadol Dvarim,cer,levenshtein,0.8930382954971091
midrashhagadoldvarim,Midrash Hagadol Dvarim,levenshtein,pll_score,0.763620451976076
midrashhagadoldvarim,Midrash Hagadol Dvarim,levenshtein,wer,0.18789303679706146
midrashhagadoldvarim,Midrash Hagadol Dvarim,levenshtein,cer,0.8930382954971091
midrashhagadoldvarim,Midrash Hagadol Dvarim,levenshtein,levenshtein,1.0
mshuntington115,Bodleian MS Huntington 115,pll_score,pll_score,1.0
mshuntington115,Bodleian MS Huntington 115,pll_score,wer,0.4789550920736236
mshuntington115,Bodleian MS Huntington 115,pll_score,cer,0.43846136306022365
mshuntington115,Bodleian MS Huntington 115,pll_score,levenshtein,0.5414603092097248
mshuntington115,Bodleian MS Huntington 115,wer,pll_score,0.4789550920736236
mshuntington115,Bodleian MS Huntington 115,wer,wer,1.0
mshuntington115,Bodleian MS Huntington 115,wer,cer,0.9030107911048156
mshuntington115,Bodleian MS Huntington 115,wer,levenshtein,0.8943875450748795
mshuntington115,Bodleian MS Huntington 115,cer,pll_score,0.43846136306022365
mshuntington115,Bodleian MS Huntington 115,cer,wer,0.9030107911048156
mshuntington115,Bodleian MS Huntington 115,cer,cer,1.0
mshuntington115,Bodleian MS Huntington 115,cer,levenshtein,0.9868738006137647
mshuntington115,Bodleian MS Huntington 115,levenshtein,pll_score,0.5414603092097248
mshuntington115,Bodleian MS Huntington 115,levenshtein,wer,0.8943875450748795
mshuntington115,Bodleian MS Huntington 115,levenshtein,cer,0.9868738006137647
mshuntington115,Bodleian MS Huntington 115,levenshtein,levenshtein,1.0
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,pll_score,pll_score,1.0
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,pll_score,wer,0.40336901443905393
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,pll_score,cer,0.26660851931890595
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,pll_score,levenshtein,0.5564102814294815
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,wer,pll_score,0.40336901443905393
