,pll_score,wer,cer,levenshtein
pll_score,1.0,0.05255667307603924,0.04954004969482838,-0.0010130583317710024
wer,0.05255667307603924,1.0,0.8380229922906957,0.4498634174714118
cer,0.04954004969482838,0.8380229922906957,1.0,0.6113748000866349
levenshtein,-0.0010130583317710024,0.4498634174714118,0.6113748000866349,1.0
