model,model_label,mean_pll,median_pll,std_pll,mean_wer,mean_cer,mean_levenshtein,images,datasets
biblia9,biblia9,26207.3378986653,5460.343839336187,39739.052960646346,0.8745595448027793,0.45314170553749367,885.5151515151515,94,20
vat44,vat44,27677.887359176133,5389.586524283281,40742.919369075535,0.842747350699974,0.4208875744251936,828.3939393939394,94,20
prenumeranten,prenumeranten,27878.042353443972,6146.808716039406,40171.29985844253,0.9988068462295574,0.6868220681781548,1233.7878787878788,94,20
italian_7,italian 7,28514.90513793801,5052.187102708889,41702.3473495356,0.7283462297401625,0.3512993125053111,712.5,94,20
sephardi,sephardi,28595.697091940157,5456.936258324673,41673.98929587684,0.7544486839908578,0.36175000529011725,730.7575757575758,94,20
ashkenazy,ashkenazy,29985.16501393192,5423.447567468982,42307.03883453624,0.7905348570906464,0.4263324915811061,808.939393939394,94,20
sinai_no_voc_61,sinai no voc 61,31715.842409702018,6538.698988322634,43017.97713651942,0.881010422511188,0.4652436088903354,890.1363636363636,94,20
