dataset,dataset_label,model,model_label,mean_pll,median_pll,std_pll,mean_wer,mean_cer,mean_levenshtein,images
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,ashkenazy,ashkenazy,3707.990561503999,3666.2323775669065,196.86202714732366,0.4645596861314978,0.15778406028420947,264.6666666666667,3
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,biblia9,biblia9,4839.4602460339665,5078.388511445373,471.4563405465911,0.7206896241111086,0.23198023522878122,384.0,3
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,italian_7,italian 7,3427.7649466867338,3457.531684473506,503.5583074010143,0.27322609022753447,0.06845626799430889,116.66666666666667,3
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,prenumeranten,prenumeranten,5012.220920811563,5136.9085166454315,466.56750097297726,0.9905330611761444,0.6461981011548769,1065.0,3
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,sephardi,sephardi,3204.7698804206534,3146.2040509954054,248.49613489517745,0.2914588284809327,0.07482956642111067,130.0,3
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,sinai_no_voc_61,sinai no voc 61,4657.412444218993,4602.212525606155,107.07669956537521,0.8316521924708749,0.3566750131408453,586.6666666666666,3
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,vat44,vat44,4513.445908510393,4601.2476020623,365.9942053357965,0.6795038434071478,0.18741502523972794,309.6666666666667,3
bnf150test2,BNF 150 test 2,ashkenazy,ashkenazy,3921.9764257486095,3921.9764257486095,161.24500247237756,0.46238938053097345,0.1581304895821025,276.0,2
bnf150test2,BNF 150 test 2,biblia9,biblia9,5006.709201528691,5006.709201528691,276.0202328641733,0.6958379152048315,0.2420762928827445,402.0,2
bnf150test2,BNF 150 test 2,italian_7,italian 7,3532.075125129224,3532.075125129224,13.771972179278483,0.29988130770976246,0.08802906770648705,155.0,2
bnf150test2,BNF 150 test 2,prenumeranten,prenumeranten,5036.731079018908,5036.731079018908,156.9573980928746,0.991141715103594,0.6323157666706054,1024.5,2
bnf150test2,BNF 150 test 2,sephardi,sephardi,3538.098150243255,3538.098150243255,52.13300641870938,0.3515648182087937,0.11091949269368624,204.5,2
bnf150test2,BNF 150 test 2,sinai_no_voc_61,sinai no voc 61,4663.158805889238,4663.158805889238,102.29485159687577,0.846402576320888,0.3456400409626216,574.0,2
bnf150test2,BNF 150 test 2,vat44,vat44,4520.25027804682,4520.25027804682,112.48272151838434,0.6411652790141558,0.19437610776320452,328.0,2
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,ashkenazy,ashkenazy,49247.48800163383,3646.2509863376617,50099.00754451402,0.8725667006468665,0.5349712880184477,516.8947368421053,19
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,biblia9,biblia9,39826.457083456706,3914.90545463562,48809.667251405655,0.8899039722210595,0.41717523685956065,415.7368421052632,19
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,italian_7,italian 7,44700.75048029177,3345.1550430869684,50091.22888588447,0.6846233625449204,0.2691160083225956,263.57894736842104,19
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,prenumeranten,prenumeranten,44681.48114618878,4238.688782216748,49436.56033405494,0.9893397636180153,0.7048423654352741,710.1578947368421,19
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,sephardi,sephardi,44679.55570141932,3325.272877642419,50103.49577791956,0.7243178487255206,0.2866916809736918,281.7894736842105,19
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,sinai_no_voc_61,sinai no voc 61,44617.697607083224,3521.41441321373,50064.794040559325,0.9058721207023965,0.45728058218276707,448.3157894736842,19
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,vat44,vat44,44990.59304234461,3804.7032740414143,50007.90167171433,0.8576388573044481,0.37994253298755637,371.6842105263158,19
constantinople1520,Constantinople 1520,ashkenazy,ashkenazy,14973.531998639926,14973.531998639926,,1.0258899676375404,0.751131221719457,3311.0,1
constantinople1520,Constantinople 1520,biblia9,biblia9,14358.967503109947,14358.967503109947,,0.9902912621359223,0.7599547511312217,3356.0,1
constantinople1520,Constantinople 1520,italian_7,italian 7,14495.859760592226,14495.859760592226,,1.034519956850054,0.7549773755656108,3332.0,1
constantinople1520,Constantinople 1520,prenumeranten,prenumeranten,14969.28383555956,14969.28383555956,,0.9913700107874865,0.7701357466063349,3409.0,1
constantinople1520,Constantinople 1520,sephardi,sephardi,14441.744107096805,14441.744107096805,,1.0442286947141317,0.7536199095022624,3323.0,1
constantinople1520,Constantinople 1520,sinai_no_voc_61,sinai no voc 61,11690.890539991728,11690.890539991728,,0.9892125134843581,0.766289592760181,3383.0,1
constantinople1520,Constantinople 1520,vat44,vat44,15232.490640059114,15232.490640059114,,0.982740021574973,0.7509049773755656,3318.0,1
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,ashkenazy,ashkenazy,8060.54215022322,8060.54215022322,217.50215409215747,0.6359878769444686,0.19255519531660192,576.5,10
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,biblia9,biblia9,8628.09605698369,8628.09605698369,40.96019106663993,0.9371551012427218,0.4492134175154888,1328.0,10
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,italian_7,italian 7,7913.770856990228,7913.770856990228,369.44517690857356,0.5797367906491702,0.1622460565398059,487.0,10
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,prenumeranten,prenumeranten,8250.274357619928,8250.274357619928,199.87503457433974,0.9893054227861302,0.6431468549826735,1888.0,10
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,sephardi,sephardi,7692.141438564693,7692.141438564693,480.9872318424939,0.572309246545581,0.1709439833635859,515.0,10
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,sinai_no_voc_61,sinai no voc 61,8245.628855923656,8245.628855923656,170.20929229549898,0.9034745155122968,0.3565242889395599,1057.5,10
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,vat44,vat44,8988.984881208627,8988.984881208627,47.74629902485809,0.8978366429130095,0.3253696876734522,962.5,10
matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,ashkenazy,ashkenazy,68877.42843584616,99999.0,55988.060204745976,0.70226007858806,0.27080183727122004,426.0,3
matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,biblia9,biblia9,68978.53909067313,99999.0,55916.223111893116,0.8321520497820337,0.35764194016233725,558.6666666666666,3
matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,italian_7,italian 7,68842.77448827129,99999.0,55980.52878321702,0.5699692603795302,0.17927260096520137,287.3333333333333,3
matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,prenumeranten,prenumeranten,68831.34754193202,99999.0,55992.385936628685,0.9959187112113752,0.6674982336935594,1015.6666666666666,3
