row_metric,pll_score,wer,cer,levenshtein
pll_score,1.0,0.4606074263794388,0.49623844859274624,0.5653965135677951
wer,0.4606074263794388,1.0,0.7852919947848913,0.7872488235259939
cer,0.49623844859274624,0.7852919947848913,1.0,0.863234451206128
levenshtein,0.5653965135677951,0.7872488235259939,0.863234451206128,1.0
