variant,variant_description,datasets_used_pll_wer,mean_pll_vs_wer,mean_pll_vs_cer,mean_pll_vs_levenshtein,mean_wer_vs_cer,mean_cer_vs_levenshtein
base_valid_all_pages,Base-valid rows before removing diagnostic pages,17,0.4078044099751795,0.4256905190759057,0.49872986746217407,0.7198299707297672,0.9537292253834114
base_valid_after_worst20_trim,Base-valid rows after removing the worst 20% diagnostic pages,11,0.6047987514703722,0.6398537794826439,0.6970144641807926,0.8087900392197188,0.9506375845659022
high_confidence_after_worst20_trim,High-confidence rows after removing the worst 20% diagnostic pages,11,0.4606074263794388,0.49623844859274624,0.5653965135677951,0.7852919947848913,0.863234451206128
