dataset,dataset_label,image,valid_model_rows,pll_wer_corr,pll_cer_corr,pll_levenshtein_corr,diagnostic_mean_corr,removed_by_worst_page_trim
bnf150test2,BNF 150 test 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_097_Image_0001.tif,7,0.9099429927982444,0.7489117758649004,0.7456496899198402,0.8015014861943284,False
mshuntington115,Bodleian MS Huntington 115,Bodleian-Library-MS-Huntington-115_00013_3r.jpg,7,0.7512873060534673,0.8669832123373762,0.8660714156585566,0.8281139780164667,False
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00412_fol-203v.jpg,7,0.8459774789069944,0.8240349968027398,0.8247618082466819,0.831591427985472,False
bnf150test2,BNF 150 test 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_098_Image_0001.tif,7,0.9319461545294538,0.7832163813175009,0.7809163722134281,0.8320263026867942,False
munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,60_ad91e_default.jpg,7,0.8934563430340096,0.8069201754201282,0.8021362655806079,0.834170928011582,False
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_224_Image_0001.tif,7,0.953527380749549,0.8051934914620342,0.7991820867345427,0.8526343196487086,False
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00413_fol-204r.jpg,7,0.8986678382329637,0.8409742706792983,0.847440070534638,0.8623607264823,False
mshuntington115,Bodleian MS Huntington 115,Bodleian-Library-MS-Huntington-115_00010_1-v.jpg,4,0.874583963369159,0.8917573706768638,0.8939493379828326,0.8867635573429519,False
mshuntington115,Bodleian MS Huntington 115,Bodleian-Library-MS-Huntington-115_00018_5v.jpg,7,0.9044955140522888,0.8804377025131676,0.8785421027361829,0.8878251064338798,False
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,407_d9adf_default.jpg,7,0.8669683384758011,0.9192289712512736,0.8983736064319018,0.8948569720529922,False
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,PNX_MANUSCRIPTS990001118700205171-1_IE51029089_FL51030815.jpg,7,0.8121445272436477,0.9395695585200402,0.938880828819139,0.896864971527609,False
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,PNX_MANUSCRIPTS990001118700205171-1_IE51029089_FL51030812.jpg,7,0.9313865415525581,0.8946532801992575,0.8934676405053126,0.9065024874190427,False
mshuntington115,Bodleian MS Huntington 115,Bodleian-Library-MS-Huntington-115_00014_3v.jpg,7,0.9257348203520702,0.9096025899832838,0.9087527127469548,0.9146967076941029,False
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,310_5d59d_default.jpg,7,0.9889463483597188,0.8898697360554895,0.8950299141644837,0.9246153328598973,False
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_375_Image_0001.tif,7,0.9961924428074161,0.8955657393796485,0.8922240596842942,0.9279940806237863,False
mshuntington115,Bodleian MS Huntington 115,Bodleian-Library-MS-Huntington-115_00012_2v.jpg,7,0.9604504886965852,0.943500287700058,0.941733386103372,0.9485613875000051,False
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,217_39817_default.jpg,7,0.9849697426861004,0.9528095398444014,0.9509482219366281,0.9629091681557099,False
bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,Bodleian-Library-MS-Oppenheim-Add-4-128_00012_fol-3v.jpg,1,,,,,False
