variant,variant_description,dataset,dataset_label,pages,rows,row_metric,col_metric,pearson_r
base_valid_all_pages,Base-valid rows before removing diagnostic pages,bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,12,77,cer,cer,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,12,77,cer,levenshtein,0.967461401876034
base_valid_all_pages,Base-valid rows before removing diagnostic pages,bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,12,77,levenshtein,pll_score,0.34483104475843845
base_valid_all_pages,Base-valid rows before removing diagnostic pages,bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,12,77,levenshtein,wer,0.8582085424480049
base_valid_all_pages,Base-valid rows before removing diagnostic pages,bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,12,77,levenshtein,cer,0.967461401876034
base_valid_all_pages,Base-valid rows before removing diagnostic pages,bodleianoppenheimad,Bodleian Oppenheim Add. 4-128,12,77,levenshtein,levenshtein,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,constantinople1520,Constantinople 1520,1,7,pll_score,pll_score,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,constantinople1520,Constantinople 1520,1,7,pll_score,wer,0.1937943742956657
base_valid_all_pages,Base-valid rows before removing diagnostic pages,constantinople1520,Constantinople 1520,1,7,pll_score,cer,-0.47322088489659736
base_valid_all_pages,Base-valid rows before removing diagnostic pages,constantinople1520,Constantinople 1520,1,7,pll_score,levenshtein,-0.4126701782656379
base_valid_all_pages,Base-valid rows before removing diagnostic pages,constantinople1520,Constantinople 1520,1,7,wer,pll_score,0.1937943742956657
base_valid_all_pages,Base-valid rows before removing diagnostic pages,constantinople1520,Constantinople 1520,1,7,wer,wer,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,constantinople1520,Constantinople 1520,1,7,wer,cer,-0.494314341717388
base_valid_all_pages,Base-valid rows before removing diagnostic pages,constantinople1520,Constantinople 1520,1,7,wer,levenshtein,-0.5389918860330926
base_valid_all_pages,Base-valid rows before removing diagnostic pages,constantinople1520,Constantinople 1520,1,7,cer,pll_score,-0.47322088489659736
base_valid_all_pages,Base-valid rows before removing diagnostic pages,constantinople1520,Constantinople 1520,1,7,cer,wer,-0.494314341717388
base_valid_all_pages,Base-valid rows before removing diagnostic pages,constantinople1520,Constantinople 1520,1,7,cer,cer,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,constantinople1520,Constantinople 1520,1,7,cer,levenshtein,0.9956134501861159
base_valid_all_pages,Base-valid rows before removing diagnostic pages,constantinople1520,Constantinople 1520,1,7,levenshtein,pll_score,-0.4126701782656379
base_valid_all_pages,Base-valid rows before removing diagnostic pages,constantinople1520,Constantinople 1520,1,7,levenshtein,wer,-0.5389918860330926
