table,unit,filter,filter_description,score,metric,n,pearson_r,pearson_p,spearman_r,spearman_p,meets_0_7_pearson,significant_0_05,significant_0_001
page_complete_high_confidence,page,page_complete_high_confidence,High-confidence page rows with character and line-count ratios in a normal range.,pll_per_pred_char,wer,277,0.6769191627544846,1.7791601583317113e-38,0.5039417670705236,3.0200512875702856e-19,False,True,True
page_complete_high_confidence,page,page_complete_high_confidence,High-confidence page rows with character and line-count ratios in a normal range.,pll_per_pred_char,cer,277,0.4166053952794772,4.693928112571909e-13,0.5555750345682784,7.780122571492373e-24,False,True,True
page_complete_high_confidence,page,page_complete_high_confidence,High-confidence page rows with character and line-count ratios in a normal range.,pll_per_pred_char,levenshtein,277,0.04182156098612131,0.4881807275345755,0.33597980949048195,9.80443629996114e-09,False,False,False
page_complete_high_confidence,page,page_complete_high_confidence,High-confidence page rows with character and line-count ratios in a normal range.,pll_per_gt_char,wer,277,0.6759781973285961,2.460138864757617e-38,0.5353768141942108,6.030187171977649e-22,False,True,True
page_complete_high_confidence,page,page_complete_high_confidence,High-confidence page rows with character and line-count ratios in a normal range.,pll_per_gt_char,cer,277,0.5278031308339682,2.861741304857173e-21,0.5512834410890606,2.0099305532301734e-23,False,True,True
page_complete_high_confidence,page,page_complete_high_confidence,High-confidence page rows with character and line-count ratios in a normal range.,pll_per_gt_char,levenshtein,277,0.13762442081692858,0.021958705497356634,0.3075307201734647,1.7672476907412218e-07,False,True,False
page_complete_high_confidence,page,page_complete_high_confidence,High-confidence page rows with character and line-count ratios in a normal range.,pll_per_char_mean,wer,277,0.6950467601211157,2.708673152504569e-41,0.5413619821232756,1.7128060683550617e-22,False,True,True
page_complete_high_confidence,page,page_complete_high_confidence,High-confidence page rows with character and line-count ratios in a normal range.,pll_per_char_mean,cer,277,0.48793832732690656,5.634727423926106e-18,0.5728066208317942,1.4943259295398221e-25,False,True,True
page_complete_high_confidence,page,page_complete_high_confidence,High-confidence page rows with character and line-count ratios in a normal range.,pll_per_char_mean,levenshtein,277,0.09290234239248636,0.12294025275326344,0.32862433067496527,2.131292460358318e-08,False,False,False
page_worst_20pct_base,page,worst_20pct_base_valid,Base-valid rows after removing the lowest 20% pages by PLL-vs-GT diagnostic correlation.,pll_score,wer,275,0.31040566920342993,1.485003008353742e-07,0.32653509889748683,2.9735630852743746e-08,False,True,True
page_worst_20pct_base,page,worst_20pct_base_valid,Base-valid rows after removing the lowest 20% pages by PLL-vs-GT diagnostic correlation.,pll_score,cer,275,0.3946228965828049,1.1066228014143443e-11,0.3547336645606636,1.414613068767111e-09,False,True,True
page_worst_20pct_base,page,worst_20pct_base_valid,Base-valid rows after removing the lowest 20% pages by PLL-vs-GT diagnostic correlation.,pll_score,levenshtein,275,0.7831719981872068,2.859158968601391e-58,0.7422559773447389,2.242108620670536e-49,True,True,True
page_worst_20pct_base,page,worst_20pct_base_valid,Base-valid rows after removing the lowest 20% pages by PLL-vs-GT diagnostic correlation.,pll_per_pred_char,wer,275,0.7833641929677319,2.5701140217420682e-58,0.708618099794834,3.0667655318069786e-43,True,True,True
page_worst_20pct_base,page,worst_20pct_base_valid,Base-valid rows after removing the lowest 20% pages by PLL-vs-GT diagnostic correlation.,pll_per_pred_char,cer,275,0.6884065507424204,5.878952636877718e-40,0.7410342289704094,3.891491588574488e-49,False,True,True
page_worst_20pct_base,page,worst_20pct_base_valid,Base-valid rows after removing the lowest 20% pages by PLL-vs-GT diagnostic correlation.,pll_per_pred_char,levenshtein,275,0.4956411499627977,1.8684189804568123e-18,0.5600003346852305,4.213543199430027e-24,False,True,True
page_worst_20pct_base,page,worst_20pct_base_valid,Base-valid rows after removing the lowest 20% pages by PLL-vs-GT diagnostic correlation.,pll_per_gt_char,wer,275,0.7443131190960114,8.797978581530234e-50,0.7512782122607767,3.4623021266368546e-51,True,True,True
page_worst_20pct_base,page,worst_20pct_base_valid,Base-valid rows after removing the lowest 20% pages by PLL-vs-GT diagnostic correlation.,pll_per_gt_char,cer,275,0.7275238620834185,1.4156006255215247e-46,0.7502457373549076,5.630785865509136e-51,True,True,True
page_worst_20pct_base,page,worst_20pct_base_valid,Base-valid rows after removing the lowest 20% pages by PLL-vs-GT diagnostic correlation.,pll_per_gt_char,levenshtein,275,0.3501312996359303,2.3746506614307676e-09,0.4928370738612555,3.0995169313267363e-18,False,True,True
page_worst_20pct_base,page,worst_20pct_base_valid,Base-valid rows after removing the lowest 20% pages by PLL-vs-GT diagnostic correlation.,pll_per_char_mean,wer,275,0.8088522624534625,6.564090580946314e-65,0.780603631544088,1.1756333005860319e-57,True,True,True
page_worst_20pct_base,page,worst_20pct_base_valid,Base-valid rows after removing the lowest 20% pages by PLL-vs-GT diagnostic correlation.,pll_per_char_mean,cer,275,0.7570446785317532,2.189675024436601e-52,0.7917944640358267,2.1475686172855332e-60,True,True,True
page_worst_20pct_base,page,worst_20pct_base_valid,Base-valid rows after removing the lowest 20% pages by PLL-vs-GT diagnostic correlation.,pll_per_char_mean,levenshtein,275,0.45567853895599636,1.6660133319816212e-15,0.5335964165945295,1.2244086640950087e-21,False,True,True
page_worst_20pct_high_confidence,page,worst_20pct_high_confidence,High-confidence rows after removing the lowest 20% pages by PLL-vs-GT diagnostic correlation.,pll_score,wer,224,0.3426729928962392,1.4398360743274728e-07,0.36813264692260655,1.3501456153737932e-08,False,True,True
page_worst_20pct_high_confidence,page,worst_20pct_high_confidence,High-confidence rows after removing the lowest 20% pages by PLL-vs-GT diagnostic correlation.,pll_score,cer,224,0.4165117195273695,8.219752988468315e-11,0.3684792699548197,1.3054357748578991e-08,False,True,True
page_worst_20pct_high_confidence,page,worst_20pct_high_confidence,High-confidence rows after removing the lowest 20% pages by PLL-vs-GT diagnostic correlation.,pll_score,levenshtein,224,0.7592645501457687,2.686405134912087e-43,0.7452861640875486,5.935296619372897e-41,True,True,True
page_worst_20pct_high_confidence,page,worst_20pct_high_confidence,High-confidence rows after removing the lowest 20% pages by PLL-vs-GT diagnostic correlation.,pll_per_pred_char,wer,224,0.7940985266882197,6.613161811353556e-50,0.6956136438584637,9.984896316217796e-34,True,True,True
page_worst_20pct_high_confidence,page,worst_20pct_high_confidence,High-confidence rows after removing the lowest 20% pages by PLL-vs-GT diagnostic correlation.,pll_per_pred_char,cer,224,0.6352491443151005,1.0278217862744076e-26,0.744271163928765,8.663567711214146e-41,False,True,True
page_worst_20pct_high_confidence,page,worst_20pct_high_confidence,High-confidence rows after removing the lowest 20% pages by PLL-vs-GT diagnostic correlation.,pll_per_pred_char,levenshtein,224,0.5189428096018996,7.637939742312162e-17,0.5549053549482559,1.726448468483226e-19,False,True,True
page_worst_20pct_high_confidence,page,worst_20pct_high_confidence,High-confidence rows after removing the lowest 20% pages by PLL-vs-GT diagnostic correlation.,pll_per_gt_char,wer,224,0.8021709428352566,1.2720172518124326e-51,0.7526822652744367,3.5692741206030815e-42,True,True,True
page_worst_20pct_high_confidence,page,worst_20pct_high_confidence,High-confidence rows after removing the lowest 20% pages by PLL-vs-GT diagnostic correlation.,pll_per_gt_char,cer,224,0.7248921974406348,8.544121572322252e-38,0.748042252852046,2.106084068414618e-41,True,True,True
page_worst_20pct_high_confidence,page,worst_20pct_high_confidence,High-confidence rows after removing the lowest 20% pages by PLL-vs-GT diagnostic correlation.,pll_per_gt_char,levenshtein,224,0.37001280836246464,1.1241986946594642e-08,0.5040475234213453,7.765411788638659e-16,False,True,True
page_worst_20pct_high_confidence,page,worst_20pct_high_confidence,High-confidence rows after removing the lowest 20% pages by PLL-vs-GT diagnostic correlation.,pll_per_char_mean,wer,224,0.848605112805047,2.5755107966035234e-63,0.769806054802395,3.570613489052745e-45,True,True,True
page_worst_20pct_high_confidence,page,worst_20pct_high_confidence,High-confidence rows after removing the lowest 20% pages by PLL-vs-GT diagnostic correlation.,pll_per_char_mean,cer,224,0.7288697584954846,2.1791980544448245e-38,0.783947674539763,7.451387474763209e-48,True,True,True
page_worst_20pct_high_confidence,page,worst_20pct_high_confidence,High-confidence rows after removing the lowest 20% pages by PLL-vs-GT diagnostic correlation.,pll_per_char_mean,levenshtein,224,0.4829243322080783,1.7256416920437943e-14,0.5346446489029795,5.8406932258017794e-18,False,True,True
page_worst_20pct_complete_high_confidence,page,worst_20pct_complete_high_confidence,Complete high-confidence rows after removing the lowest 20% diagnostic pages.,pll_score,wer,214,0.4886039777206742,3.0614394598115423e-14,0.5333230068625995,3.973830152498118e-17,False,True,True
page_worst_20pct_complete_high_confidence,page,worst_20pct_complete_high_confidence,Complete high-confidence rows after removing the lowest 20% diagnostic pages.,pll_score,cer,214,0.5622782793731836,3.086113992802173e-19,0.4903860400134631,2.392106492566177e-14,False,True,True
page_worst_20pct_complete_high_confidence,page,worst_20pct_complete_high_confidence,Complete high-confidence rows after removing the lowest 20% diagnostic pages.,pll_score,levenshtein,214,0.7676664347701176,7.655705635526628e-43,0.7985353928747058,1.2627041096345977e-48,True,True,True
page_worst_20pct_complete_high_confidence,page,worst_20pct_complete_high_confidence,Complete high-confidence rows after removing the lowest 20% diagnostic pages.,pll_per_pred_char,wer,214,0.8366469628449459,2.4720623753662645e-57,0.7261495397680997,2.4108690335653245e-36,True,True,True
page_worst_20pct_complete_high_confidence,page,worst_20pct_complete_high_confidence,Complete high-confidence rows after removing the lowest 20% diagnostic pages.,pll_per_pred_char,cer,214,0.651195082464195,3.328273576584844e-27,0.7731257277970585,8.477762517949993e-44,False,True,True
page_worst_20pct_complete_high_confidence,page,worst_20pct_complete_high_confidence,Complete high-confidence rows after removing the lowest 20% diagnostic pages.,pll_per_pred_char,levenshtein,214,0.5404496138127229,1.2550586237366713e-17,0.5767033053427332,2.286546895646405e-20,False,True,True
page_worst_20pct_complete_high_confidence,page,worst_20pct_complete_high_confidence,Complete high-confidence rows after removing the lowest 20% diagnostic pages.,pll_per_gt_char,wer,214,0.8136661658305643,7.669825052240118e-52,0.7192648676682418,2.2145755991304807e-35,True,True,True
page_worst_20pct_complete_high_confidence,page,worst_20pct_complete_high_confidence,Complete high-confidence rows after removing the lowest 20% diagnostic pages.,pll_per_gt_char,cer,214,0.7036874397249759,2.6404212649598314e-33,0.7259093864527972,2.6077294122983212e-36,True,True,True
page_worst_20pct_complete_high_confidence,page,worst_20pct_complete_high_confidence,Complete high-confidence rows after removing the lowest 20% diagnostic pages.,pll_per_gt_char,levenshtein,214,0.5784495895357711,1.6540638378607226e-20,0.5375620125657485,2.0086477235930864e-17,False,True,True
page_worst_20pct_complete_high_confidence,page,worst_20pct_complete_high_confidence,Complete high-confidence rows after removing the lowest 20% diagnostic pages.,pll_per_char_mean,wer,214,0.8404185833355755,2.5716427799104645e-58,0.7418658165847607,1.1734779460818899e-38,True,True,True
page_worst_20pct_complete_high_confidence,page,worst_20pct_complete_high_confidence,Complete high-confidence rows after removing the lowest 20% diagnostic pages.,pll_per_char_mean,cer,214,0.691927636811004,7.974006621794228e-32,0.7676480420045103,7.711888016388992e-43,False,True,True
page_worst_20pct_complete_high_confidence,page,worst_20pct_complete_high_confidence,Complete high-confidence rows after removing the lowest 20% diagnostic pages.,pll_per_char_mean,levenshtein,214,0.5714580432015495,5.978285404929839e-20,0.5652776306965666,1.8152437584552355e-19,False,True,True
