score,wer,cer,levenshtein
pll_score,0.3426729928962392,0.4165117195273695,0.7592645501457687
pll_per_pred_char,0.7940985266882197,0.6352491443151005,0.5189428096018996
pll_per_gt_char,0.8021709428352566,0.7248921974406348,0.37001280836246464
pll_per_char_mean,0.848605112805047,0.7288697584954846,0.4829243322080783
