dataset,dataset_label,image,image_stem,model,model_label,line_index,page_pll_score,pll_score,wer,cer,levenshtein,gt_chars,pred_chars,char_ratio,line_weighted_wc,line_mean_wc,page_weighted_wc,page_len_ratio,page_line_ratio,gt_lines,pred_lines,score_candidate,pll_per_pred_char,pll_per_gt_char,pll_per_char_mean,base_valid,line_quality,line_high_confidence,selected_run
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,ashkenazy,ashkenazy,10,3922.381534989574,,0.6428571428571429,0.1791044776119403,12.0,67,59,0.8805970149253731,0.9104808510638298,0.9094,0.9113209036838896,0.8119858989424207,1.0,26,26,False,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,ashkenazy,ashkenazy,11,3922.381534989574,,0.5,0.2424242424242424,16.0,66,56,0.8484848484848485,0.9227979166666666,0.9104363636363636,0.9113209036838896,0.8119858989424207,1.0,26,26,False,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,ashkenazy,ashkenazy,12,3922.381534989574,,0.3571428571428571,0.140625,10.0,65,62,0.953846153846154,0.937846,0.9387785714285714,0.9113209036838896,0.8119858989424207,1.0,26,26,False,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,ashkenazy,ashkenazy,13,3922.381534989574,,0.4545454545454545,0.1129032258064516,7.0,62,61,0.9838709677419356,0.950921568627451,0.9535545454545457,0.9113209036838896,0.8119858989424207,1.0,26,26,True,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,ashkenazy,ashkenazy,14,3922.381534989574,,0.4285714285714285,0.1166666666666666,7.0,60,59,0.9833333333333332,0.967991304347826,0.9748428571428572,0.9113209036838896,0.8119858989424207,1.0,26,26,True,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,ashkenazy,ashkenazy,15,3922.381534989574,,0.4285714285714285,0.1,6.0,60,56,0.9333333333333332,0.9748543478260868,0.9800909090909092,0.9113209036838896,0.8119858989424207,1.0,26,26,True,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,ashkenazy,ashkenazy,16,3922.381534989574,,0.375,0.1538461538461538,10.0,65,60,0.9230769230769232,0.9134979591836736,0.8958200000000001,0.9113209036838896,0.8119858989424207,1.0,26,26,False,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,ashkenazy,ashkenazy,17,3922.381534989574,,0.6666666666666666,0.2,13.0,65,58,0.8923076923076924,0.936591836734694,0.9435083333333334,0.9113209036838896,0.8119858989424207,1.0,26,26,False,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,ashkenazy,ashkenazy,18,3922.381534989574,,0.7857142857142857,0.21875,14.0,64,56,0.875,0.8544521739130433,0.8444846153846153,0.9113209036838896,0.8119858989424207,1.0,26,26,False,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,ashkenazy,ashkenazy,19,3922.381534989574,,0.5714285714285714,0.3174603174603174,20.0,63,46,0.7301587301587301,0.881225641025641,0.8832,0.9113209036838896,0.8119858989424207,1.0,26,26,False,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,ashkenazy,ashkenazy,20,3922.381534989574,,0.6153846153846154,0.360655737704918,22.0,61,39,0.639344262295082,0.8876181818181816,0.90134,0.9113209036838896,0.8119858989424207,1.0,26,26,False,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,ashkenazy,ashkenazy,21,3922.381534989574,,0.3333333333333333,0.1774193548387097,12.0,63,54,0.8571428571428571,0.9095380952380951,0.9137357142857144,0.9113209036838896,0.8119858989424207,1.0,26,26,False,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,ashkenazy,ashkenazy,22,3922.381534989574,,0.0833333333333333,0.0483870967741935,3.0,62,61,0.9838709677419356,0.9468,0.9454583333333332,0.9113209036838896,0.8119858989424207,1.0,26,26,False,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,ashkenazy,ashkenazy,23,3922.381534989574,,0.6153846153846154,0.2,13.0,65,56,0.8615384615384616,0.9358765957446809,0.9336181818181818,0.9113209036838896,0.8119858989424207,1.0,26,26,False,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,ashkenazy,ashkenazy,24,3922.381534989574,,0.5,0.1846153846153846,12.0,65,57,0.8769230769230769,0.9599428571428572,0.9631416666666668,0.9113209036838896,0.8119858989424207,1.0,26,26,True,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,ashkenazy,ashkenazy,25,3922.381534989574,,0.7142857142857143,0.208955223880597,14.0,67,61,0.9104477611940298,0.929104081632653,0.9235384615384614,0.9113209036838896,0.8119858989424207,1.0,26,26,False,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,0,5143.6186387352645,,0.8666666666666667,0.2857142857142857,19.0,65,60,0.9230769230769232,0.9593163265306122,0.9631583333333334,0.9521334220062558,0.9018801410105758,1.0,26,26,True,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,1,5143.6186387352645,,0.9285714285714286,0.4776119402985074,32.0,67,55,0.8208955223880597,0.9555978260869564,0.9615900000000002,0.9521334220062558,0.9018801410105758,1.0,26,26,True,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,2,5143.6186387352645,,0.9333333333333332,0.3538461538461538,23.0,65,60,0.9230769230769232,0.9224307692307692,0.9194333333333334,0.9521334220062558,0.9018801410105758,1.0,26,26,False,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,3,5143.6186387352645,,0.7857142857142857,0.3064516129032258,19.0,62,59,0.9516129032258064,0.9442304347826086,0.9531285714285714,0.9521334220062558,0.9018801410105758,1.0,26,26,False,,,,False,False,False,full_run_20260617_selected_handwritings
