,pll_score,wer,cer,levenshtein
pll_score,1.0,0.9795480791641239,0.9039886785051743,0.9136818483366848
wer,0.9795480791641239,1.0,0.9535368713951383,0.9548860061450747
cer,0.9039886785051743,0.9535368713951383,1.0,0.9976775454045145
levenshtein,0.9136818483366848,0.9548860061450747,0.9976775454045145,1.0
