,pll_score,wer,cer,levenshtein
pll_score,1.0,0.6471075499453295,0.8895993586722607,0.89069120416425
wer,0.6471075499453295,1.0,0.6592359335319012,0.6764523432616126
cer,0.8895993586722607,0.6592359335319012,1.0,0.9525300040482891
levenshtein,0.89069120416425,0.6764523432616126,0.9525300040482891,1.0
