model,model_label,mean_pll,mean_wer,mean_cer,mean_levenshtein,rows,pages,datasets
italian_7,italian 7,4446.720638107124,0.5643369489209482,0.286771503566407,395.6666666666667,15,15,7
sephardi,sephardi,4474.706103291673,0.5967613632682645,0.2939801336075074,424.0,15,15,7
ashkenazy,ashkenazy,4576.779731466047,0.6105628341405946,0.26800862893857363,439.2,15,15,7
biblia9,biblia9,5162.977275950863,0.7416445141779265,0.3775872427178359,611.4666666666667,15,15,7
vat44,vat44,5166.926841886091,0.7278375714148206,0.34085728836287227,539.6666666666666,15,15,7
sinai_no_voc_61,sinai no voc 61,5558.635804763713,0.8368498721888163,0.39283117104303195,749.7692307692307,13,13,6
prenumeranten,prenumeranten,5784.055395614022,0.9984445617534017,0.6747378160204682,1143.8666666666666,15,15,7
