,pll_score,wer,cer,levenshtein
pll_score,1.0,0.9094292077004185,0.735766774224775,0.7340880218716392
wer,0.9094292077004185,1.0,0.9027970615010067,0.8986238734789721
cer,0.735766774224775,0.9027970615010067,1.0,0.9979019861572047
levenshtein,0.7340880218716392,0.8986238734789721,0.9979019861572047,1.0
