dataset,dataset_label,pages,rows,pll_vs_wer,pll_vs_cer,pll_vs_levenshtein,mean_pll_correlation
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,2,14,0.9795480791641239,0.9039886785051743,0.9136818483366848,0.9324062020019944
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,2,14,0.8762647512473437,0.9147492621874814,0.9130797770763756,0.9013645968370669
bnf150test2,BNF 150 test 2,2,14,0.9211282834658691,0.7672774139136926,0.7618973786313461,0.8167676920036359
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,2,14,0.6471075499453295,0.8895993586722607,0.89069120416425,0.8091327042606133
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,0.9094292077004185,0.735766774224775,0.7340880218716392,0.7930946679322775
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,2,12,0.4475546859223599,0.6500503267669424,0.7435784141642835,0.6137278089511953
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,2,14,0.7169072660006279,0.4529141482158572,0.44609896589884823,0.5386401267051112
