model,pll_score,wer,cer,levenshtein_distance,lines
italian_7,125.93109621937454,0.3357993197278911,0.07914595551396772,4.5,28
sinai_no_voc_61,157.51072479864317,0.6438795331652474,0.2192322436069613,12.285714285714286,28
prenumeranten,201.4677074897502,1.0746259692688265,0.6090177727053526,33.17857142857143,28
italian_7_retrained_bnf150_6p,228.80617087627095,1.4672175047175047,0.5175007056319164,27.678571428571427,28
