,pll_score,wer,cer,levenshtein_distance
pll_score,1.0,0.8586562483905954,0.8129207758760747,0.8100717494471107
wer,0.8586562483905954,1.0,0.8322025013197769,0.8201343066731263
cer,0.8129207758760747,0.8322025013197769,1.0,0.9940910164805451
levenshtein_distance,0.8100717494471107,0.8201343066731263,0.9940910164805451,1.0
