model,model_label,pages,rows,pll_score,pll_per_pred_char,wer,cer,levenshtein,pll_score_rank,pll_per_pred_char_rank,wer_rank,cer_rank,levenshtein_rank
italian_7,italian 7,15,15,4446.720638107124,2.5829162850739653,0.5643369489209482,0.286771503566407,395.6666666666667,1,1,1,2,1
sephardi,sephardi,15,15,4474.706103291673,2.6290668930771344,0.5967613632682645,0.2939801336075074,424.0,2,2,2,3,2
ashkenazy,ashkenazy,15,15,4576.779731466047,2.8608802381621037,0.6105628341405946,0.26800862893857363,439.2,3,3,3,1,3
biblia9,biblia9,15,15,5162.977275950863,3.203925795640442,0.7416445141779265,0.3775872427178359,611.4666666666667,4,4,5,5,5
vat44,vat44,15,15,5166.926841886091,3.2472376250124384,0.7278375714148206,0.34085728836287227,539.6666666666666,5,5,4,4,4
sinai_no_voc_61,sinai no voc 61,13,13,5558.635804763713,3.2511131284778574,0.8368498721888163,0.39283117104303195,749.7692307692307,6,6,6,6,6
prenumeranten,prenumeranten,15,15,5784.055395614022,3.739086871223016,0.9984445617534017,0.6747378160204682,1143.8666666666666,7,7,7,7,7
