model,model_label,pages,rows,pll_score,pll_per_pred_char,wer,cer,levenshtein,pll_score_rank,pll_per_pred_char_rank,wer_rank,cer_rank,levenshtein_rank
italian_7,italian 7,39,39,4250.111825757061,2.8211004727517337,0.6920739279100697,0.3240983935957349,474.6666666666667,1,1,1,1,1
sephardi,sephardi,39,39,4385.852566419572,2.9149593068212623,0.7204306228301696,0.33680327598979426,497.0769230769231,3,2,2,2,2
ashkenazy,ashkenazy,39,39,4324.027692875223,3.1437615038933786,0.7374090257223062,0.3512781676499552,531.1794871794872,2,3,3,3,3
sinai_no_voc_61,sinai no voc 61,37,37,4777.820071175602,3.3161134637748515,0.8736178016285742,0.4336282004042678,682.8108108108108,4,4,6,6,6
biblia9,biblia9,41,41,4939.823162012443,3.4025565599925227,0.8515475391404318,0.4193056814856129,621.5365853658536,6,5,5,5,5
vat44,vat44,40,40,4927.591885405569,3.407445017966956,0.8021267122253489,0.3819623907329697,571.025,5,6,4,4,4
prenumeranten,prenumeranten,40,40,5435.495090362784,3.7578839364005256,1.0091798106098022,0.6851409627698828,1034.575,7,7,7,7,7
