dataset,dataset_label,pages,rows,pll_wer_r,pll_cer_r,pll_levenshtein_r,mean_pll_gt_r
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,2,14,0.9795480791641239,0.9039886785051742,0.9136818483366848,0.9324062020019942
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,2,14,0.8762647512473442,0.9147492621874815,0.9130797770763759,0.9013645968370673
bnf150test2,BNF 150 test 2,2,14,0.9211282834658688,0.7672774139136925,0.7618973786313458,0.8167676920036357
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,2,14,0.6471075499453232,0.8895993586722606,0.89069120416425,0.8091327042606112
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,0.9094292077004186,0.7357667742247748,0.734088021871639,0.7930946679322775
munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,2,12,0.44755468592236014,0.6500503267669424,0.7435784141642836,0.6137278089511954
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,2,14,0.7169072660006278,0.45291414821585696,0.4460989658988479,0.538640126705111
