dataset_label,image,model_label,pll_score,pll_per_pred_char,wer,cer,levenshtein,page_weighted_wc
Munich Staatsbibliothek test 2,146_899d5_default.jpg,italian 7,2886.7601320296526,3.1480481265317914,1.4224137931034482,0.9676767676767676,481.0,0.9327445068282404
Munich Staatsbibliothek test 2,146_899d5_default.jpg,sephardi,2769.804094865918,3.176380842736145,1.3017241379310345,0.8949494949494949,445.0,0.927764051583814
Munich Staatsbibliothek test 2,146_899d5_default.jpg,ashkenazy,2133.8395534455776,3.672701468925263,0.956896551724138,0.4383838383838384,217.0,0.8569326599506839
Munich Staatsbibliothek test 2,146_899d5_default.jpg,vat44,2877.4964541196823,4.081555254070471,0.8706896551724138,0.7636363636363637,387.0,0.8643424275566655
Munich Staatsbibliothek test 2,146_899d5_default.jpg,biblia9,3083.0817334651947,4.105301908741937,1.2413793103448276,0.896969696969697,454.0,0.9213932123905176
Munich Staatsbibliothek test 2,146_899d5_default.jpg,prenumeranten,2346.396169871092,4.289572522616256,1.0172413793103448,0.7878787878787878,400.0,0.53115781127454
